EVE_IDF,EVE_TITULO,EVE_DATA_INICIO,EVE_DATA_TERMINO,EVE_REPETIR,EVE_DIA,BAI_DESCRICAO,ETE_DESCRICAO
1727,"Palestra ""Autonomia Econômica Feminina e Violência Contra a Mulher""",2016-03-07,2016-03-07,1,2,Rebouças,Simpósios/Similares
1729,Ciclo de Debates Estado Planejamento e Administração Pública no Brasil,2016-03-17,2016-03-17,0,,Santo Inácio,Cursos
1732,PALESTRA SOBRE EMPREENDEDORISMO FEMININO,2016-03-09,2016-03-09,0,,Tatuquara,Simpósios/Similares
1733,PALESTRA SOBRE EMPREENDEDORISMO FEMININO,2016-03-17,2016-03-17,0,,Santa Felicidade,Simpósios/Similares
1734,PALESTRA SOBRE EMPREENDEDORISMO FEMININO,2016-03-23,2016-03-23,0,,Boqueirão,Simpósios/Similares
1735,PALESTRA SOBRE EMPREENDEDORISMO FEMININO,2016-04-05,2016-04-05,0,,Sítio Cercado,Simpósios/Similares
1736,PALESTRA SOBRE EMPREENDEDORISMO FEMININO,2016-04-13,2016-04-13,0,,Fazendinha,Simpósios/Similares
1737,PALESTRA SOBRE EMPREENDEDORISMO FEMININO,2016-04-18,2016-04-18,0,,Capão Raso,Simpósios/Similares
1738,PALESTRA SOBRE EMPREENDEDORISMO FEMININO,2016-04-27,2016-04-27,0,,Boa Vista,Simpósios/Similares
1739,PALESTRA SOBRE EMPREENDEDORISMO FEMININO,2016-05-31,2016-05-31,0,,Cidade Industrial de Curitiba,Simpósios/Similares
1740,ENTREGA DO ESPAÇO DE SKATE,2016-03-05,2016-03-05,1,7,Uberaba,Eventos Regionais
1741,INAUGURAÇÃO DO ESPAÇO EMPREENDEDOR BOQUEIRÃO,2016-03-23,2016-03-23,0,,Boqueirão,Inaugurações
1745,PRAÇA DA CIDADANIA/ANIVERSÁRIO DE CURITIBA,2016-03-19,2016-03-19,1,7,Cajuru,Eventos Regionais
1746,Inauguração Espaço Empreendedor Rua da Cidadania Carmo,2016-03-23,2016-03-23,1,4,Boqueirão,Inaugurações
1750,Caminhada da Mulher e Aulão de Yoga,2016-03-08,2016-03-08,0,,Tinguí,Esporte
1751,Aula de Ginástica Especial Dia da Mulher,2016-03-08,2016-03-08,0,,Boqueirão,Esporte
1752,Comemoração Dia da Mulher,2016-03-08,2016-03-08,0,,Centro,Lazer
1753,Aulão de Zumba,2016-03-11,2016-03-11,0,,Bacacheri,Esporte
1755,Brincadeira Tem Hora,2016-03-12,2016-03-12,0,,Butiatuvinha,Lazer
1758,Contação de Histórias - Casa da Leitura,2016-03-08,2016-03-11,0,,Alto Boqueirão,Cultura
1760,Roda de Leitura,2016-03-08,2016-03-11,0,,Alto Boqueirão,Cultura
1761,Aniversário de Curitiba,2016-03-12,2016-03-12,0,,Tatuquara,Lazer
1762,Inauguração da Escola Integral Vila Torres,2016-03-14,2016-03-14,0,,Prado Velho,Educação
1763,Praça da Cidadania,2016-03-19,2016-03-19,0,,Cajuru,Eventos Regionais
1764,Aniversário de Curitiba,2016-03-13,2016-03-13,1,1,Cidade Industrial de Curitiba,Eventos Regionais
1765,Mutirão de Combate a Dengue,2016-03-19,2016-03-19,1,7,Cidade Industrial de Curitiba,Eventos Regionais
1766,PALESTRA SOBRE EMPREENDEDORISMO FEMININO,2016-05-04,2016-05-04,0,,Centro,Simpósios/Similares
1768,Grafite na Praça – Todo Dia é Dia de Cultura!,2016-03-19,2016-03-19,0,,Rebouças,Lazer
1773,Cem Voltas (Ciclismo),2016-03-18,2016-03-18,0,,Jardim Botânico,Esporte
1774,Aulão de Zumba,2016-03-18,2016-03-18,0,,Bacacheri,Esporte
1775,Pedala do Pinheirinho das Estações “1ª Etapa Verão”,2016-03-19,2016-03-19,0,,Capão Raso,Esporte
1776,Torneio de Tênis Infantil,2016-03-19,2016-03-19,0,,Xaxim,Esporte
1777,Torneio de Tênis Feminino,2016-03-19,2016-03-19,0,,Xaxim,Esporte
1780,Reinstalação do CRAS e do CREAS - Portão,2016-03-18,2016-03-18,1,6,Novo Mundo,Inaugurações
1782,Reinstalação em Novo endereço CREAS Bairro Novo,2016-03-30,2016-03-30,1,4,Sítio Cercado,Inaugurações
1784,Contação de Histórias - Casa da Leitura,2016-03-15,2016-03-21,0,,Alto Boqueirão,Cultura
1786,Aulão de Capoeira,2016-06-30,2016-12-04,1,2;4,Alto Boqueirão,Esporte
1787,Aulão de Capoeira,2016-06-30,2016-12-31,1,5,Sítio Cercado,Esporte
1788,Aulão de Capoeira,2016-06-30,2016-12-31,1,7,Sítio Cercado,Esporte
1790,Aulão de Escalada Esportiva,2016-06-30,2016-12-04,1,3;4;5,Sítio Cercado,Esporte
1791,Mutirão de Combate ao Aedes aegypti,2016-03-19,2016-03-19,0,,Cidade Industrial de Curitiba,Saúde
1795,Gastronomia Étnica no Mercado Municipal,2016-03-19,2016-03-19,0,,Centro,Cultura
1797,Entrega de equipamentos para Maternidade Bairro Novo,2016-03-20,2016-03-20,1,1,Sítio Cercado,Saúde
1798,Reunião do CONSEG da área Central,2016-03-22,2016-03-22,1,3,Centro,Segurança
1806,Contação de Histórias – Casa da Leitura,2016-03-22,2016-03-22,0,,Alto Boqueirão,Cultura
1807,Teatro “A paixão de Cristo” – Grupo de teatro JUBAC,2016-03-25,2016-03-25,0,,Alto Boqueirão,Cultura
1808,Campeonato de Skate – Panzer,2016-03-27,2016-03-27,0,,Alto Boqueirão,Esporte
1813,CONSULTAS PÚBLICAS LDO 2017 - SANTA FELICIDADE,2016-04-05,2016-04-05,0,,Santo Inácio,Eventos Regionais
1814,CONSULTAS PÚBLICAS LDO 2017 - TATUQUARA,2016-04-06,2016-04-06,0,,Tatuquara,Eventos Regionais
