EVE_TITULO;EVE_DATA_INICIO;EVE_DATA_TERMINO;EVE_REPETIR;EVE_DIA;BAI_DESCRICAO;ETE_DESCRICAO;EVE_DESCRICAO_NORM
Entrega de equipamentos para Maternidade Bairro Novo;2016-03-20;2016-03-20;1;1;Sítio Cercado;Saúde;prefeito gustavo fruet entregara r mil equipamentos maternidade bairro novo
Reunião do CONSEG da área Central;2016-03-22;2016-03-22;1;3;Centro;Segurança;reuniao discute aspectos seguranca area central aberta comunidade
Contação de Histórias – Casa da Leitura;2016-03-22;2016-03-22;0;*;Alto Boqueirão;Cultura;informacoes
Teatro “A paixão de Cristo” – Grupo de teatro JUBAC;2016-03-25;2016-03-25;0;*;Alto Boqueirão;Cultura;informacoes
Campeonato de Skate – Panzer;2016-03-27;2016-03-27;0;*;Alto Boqueirão;Esporte;informacoes
CONSULTAS PÚBLICAS LDO 2017 - SANTA FELICIDADE;2016-04-05;2016-04-05;0;*;Santo Inácio;Eventos Regionais;consultas publicas lei diretrizes orcamentarias periodo participeconsulte datas horarios enderecos clicando aqui
CONSULTAS PÚBLICAS LDO 2017 - TATUQUARA;2016-04-06;2016-04-06;0;*;Tatuquara;Eventos Regionais;consultas publicas lei diretrizes orcamentarias periodo abril participeconfira datas locais clique aqui
CONSULTAS PÚBLICAS LDO 2017 - PORTÃO;2016-04-07;2016-04-07;0;*;Portão;Eventos Regionais;consultas publicas lei diretrizes orcamentarias datas locais clique aqui
CONSULTAS PÚBLICAS LDO 2017 - CIC;2016-04-12;2016-04-12;0;*;Cidade Industrial de Curitiba;Eventos Regionais;consultas publicas lei diretrizes orcamentarias datas locais clique aqui
CONSULTAS PÚBLICAS LDO 2017 - BAIRRO NOVO;2016-04-13;2016-04-13;1;4;Sítio Cercado;Eventos Regionais;consultas publicas lei diretrizes orcamentarias confira datas locais clique aqui
CONSULTAS PÚBLICAS LDO 2017 - BOQUEIRÃO;2016-04-14;2016-04-14;0;*;Boqueirão;Eventos Regionais;consultas publica lei diretrizes orcamentarias confira datas locais clique aqui
CONSULTAS PÚBLICAS LDO 2017 - BOA VISTA;2016-04-19;2016-04-19;0;*;Bacacheri;Eventos Regionais;consultas publicas lei diretrizes orcamentarias confira datas locais clique aqui
CONSULTAS PÚBLICAS LDO 2017 - PINHEIRINHO;2016-04-26;2016-04-26;0;*;Capão Raso;Eventos Regionais;consultas publicas lei diretrizes orcamentarias confira datas locais clique aqui
CONSULTAS PÚBLICAS LDO 2017 - MATRIZ;2016-04-27;2016-04-27;0;*;São Francisco;Eventos Regionais;consultas publicas lei diretrizes orcamentarias confira data locais clique aqui
CONSULTAS PÚBLICAS LDO 2017 - CAJURU;2016-04-28;2016-04-28;0;*;Capão da Imbuia;Eventos Regionais;consultas publicas lei diretrizes orcamentarias confira datas locais clique aqui
Festa de Aniversário dos 323 Anos de Curitiba;2016-03-27;2016-03-27;0;*;Santo Inácio;Cultura;programacao apresentacao orquestra big time orchestraparabens corte distribuicao show elba ramalho alceu valenca
4º EVENTO DE ADOÇÃO ANIMAL;2016-04-02;2016-04-02;1;7;Jardim das Américas;Eventos Regionais;participacao ong protetores independentes parceria rede protecao animal administracao regional cajuru shopping jardim americas
GP Curitiba de Ciclismo;2016-04-02;2016-04-03;0;*;Centro Cívico;Esporte;raquo raquo esporte
