EVE_TITULO;EVE_DATA_INICIO;EVE_DATA_TERMINO;EVE_REPETIR;EVE_DIA;BAI_DESCRICAO;ETE_DESCRICAO;EVE_DESCRICAO_NORM
Brincadeira e Diversão: Jogos de tabuleiro;2019-01-15;2019-01-15;1;"2;3;4;5;6";Santa Quitéria;Verão Curitiba;informacoes
Criação de um varal literário com histórias infantis;2019-01-30;2019-01-30;1;5;Santa Quitéria;Verão Curitiba;informacoes
Leitura e roda de conversa sobre passeios em Curitiba: parques;2019-01-07;2019-01-07;1;3;Santa Quitéria;Verão Curitiba;informacoes
Leitura e roda de conversa sobre passeios em Curitiba: museus;2019-01-03;2019-01-03;1;3;Santa Quitéria;Verão Curitiba;informacoes
Leitura e roda de conversa sobre passeios em Curitiba: bibliotecas;2019-01-08;2019-01-08;1;3;Santa Quitéria;Verão Curitiba;informacoes
Leitura e roda de conversa sobre Curitiba: locais turísticos;2019-01-15;2019-01-15;1;3;Santa Quitéria;Verão Curitiba;informacoes
Oficina e exposição de desenhos;2019-01-22;2019-01-22;1;5;Santa Quitéria;Verão Curitiba;informacoes
Contação de Histórias;2019-01-29;2019-01-29;1;"5;6";Vista Alegre;Verão Curitiba;informacoes
Contação de Histórias;2019-01-31;2019-01-31;1;"1;7";Vista Alegre;Verão Curitiba;informacoes
"Ação educativa sobre à dengue; leptospirose; febre amarela e raiva";2019-01-10;2019-01-11;1;7;Santo Inácio;Verão Curitiba;nan
"Ação educativa sobre à dengue; leptospirose; febre amarela e raiva";2019-01-12;2019-01-13;0;*;Santo Inácio;Verão Curitiba;nan
Contação de Histórias;2019-01-12;2019-01-12;1;"3;4;5;6";Vista Alegre;Verão Curitiba;informacoes
"Ação educativa sobre à dengue; leptospirose; febre amarela e raiva";2019-01-13;2019-01-13;1;"1;7";Santo Inácio;Verão Curitiba;nan
"Ação educativa sobre à dengue; leptospirose; febre amarela e raiva";2019-01-15;2019-01-18;1;"1;7";Santo Inácio;Verão Curitiba;nan
Contação de Histórias;2019-01-19;2019-01-20;1;"1;7";Vista Alegre;Verão Curitiba;informacoes
"Ação educativa sobre à dengue; leptospirose; febre amarela e raiva";2019-01-26;2019-01-27;1;"1;7";Augusta;Verão Curitiba;nan
"Ação educativa sobre à dengue; leptospirose; febre amarela e raiva";2019-01-19;2019-01-20;1;"1;7";Augusta;Verão Curitiba;nan
Contação de Histórias;2019-01-12;2019-01-13;1;"3;4;5;6";Vista Alegre;Verão Curitiba;informacoes
"Ação educativa sobre à dengue; leptospirose; febre amarela e raiva";2019-01-19;2019-01-20;0;*;Augusta;Verão Curitiba;nan
Equipe de odontologia faz orientações sobre Saúde Bucal;2019-01-22;2019-01-25;1;"1;7";Augusta;Verão Curitiba;nan
Contação de Histórias;2019-01-26;2019-01-27;1;"1;7";Vista Alegre;Verão Curitiba;informacoes
Equipe de odontologia faz orientações sobre Saúde Bucal;2019-01-12;2019-01-13;1;"1;7";Augusta;Verão Curitiba;nan
Equipe de odontologia faz orientações sobre Saúde Bucal;2019-01-26;2019-01-27;1;"1;7";Augusta;Verão Curitiba;nan
Contação de Histórias;2019-01-19;2019-01-20;1;"3;4;5";Vista Alegre;Verão Curitiba;informacoes
Orientações sobre o Programa Escute o Seu Coração;2019-01-26;2019-01-27;1;"1;7";Augusta;Verão Curitiba;nan
"Ação educativa sobre à dengue; leptospirose; febre amarela e raiva";2019-01-29;2019-01-31;1;"1;7";Boqueirão;Verão Curitiba;nan
Orientações sobre cuidados com temperaturas altas e a exposição solar;2019-01-12;2019-01-27;1;"1;7";Boqueirão;Verão Curitiba;nan
Orientações sobre o Programa Escute o Seu Coração;2019-01-12;2019-01-27;1;"1;7";Boqueirão;Verão Curitiba;nan
"Ação educativa sobre à dengue; leptospirose; febre amarela e raiva";2019-01-12;2019-01-27;1;"1;7";Umbará;Verão Curitiba;nan
Orientações sobre o Programa Escute o Seu Coração;2019-01-12;2019-01-27;0;*;Umbará;Verão Curitiba;nan
Orientações sobre planejamento familiar e saúde bucal;2019-01-12;2019-01-27;0;*;Seminário;Verão Curitiba;nan
"Atendimento ao turista: Roteiros Turísticos; conhecendo Curitiba";2019-01-12;2019-01-27;1;6;Centro Cívico;Verão Curitiba;informacoes
"Atendimento ao turista: Roteiros Turísticos; conhecendo Curitiba";2019-01-12;2019-01-27;1;2;Centro Cívico;Verão Curitiba;informacoes
Brincadeira e Diversão: Jogos de Tabuleiro;2019-01-11;2019-01-11;1;3;Centro Cívico;Verão Curitiba;informacoes
"Roda de Leitura: Crônicas; coleção ""Para gostar de Ler - vol.1""";2019-01-14;2019-01-14;1;4;Centro Cívico;Verão Curitiba;informacoes
Brincadeira e Diversão: Jogos de Tabuleiro;2019-01-15;2019-01-15;1;5;Centro Cívico;Verão Curitiba;informacoes
"Atendimento ao turista: Roteiros Turísticos; conhecendo Curitiba";2019-01-16;2019-01-16;1;6;Centro Cívico;Verão Curitiba;informacoes
"Atendimento ao turista: Roteiros Turísticos; conhecendo Curitiba";2019-01-17;2019-01-17;1;2;Centro Cívico;Verão Curitiba;informacoes
Brincadeira e Diversão: Jogos de Tabuleiro;2019-01-18;2019-01-18;1;3;Centro Cívico;Verão Curitiba;informacoes
"Roda de Leitura: Crônicas; coleção ""Para gostar de Ler - vol.1""";2019-01-21;2019-01-21;1;4;Centro Cívico;Verão Curitiba;informacoes
Brincadeira e Diversão: Jogos de Tabuleiro;2019-01-22;2019-01-22;0;*;Centro Cívico;Verão Curitiba;informacoes
"Atendimento ao turista: Roteiros Turísticos; conhecendo Curitiba";2019-01-23;2019-01-23;1;6;Centro Cívico;Verão Curitiba;informacoes
"Atendimento ao turista: Roteiros Turísticos; conhecendo Curitiba";2019-01-24;2019-01-24;1;2;Centro Cívico;Verão Curitiba;informacoes
Brincadeira e Diversão: Jogos de Tabuleiro;2019-01-25;2019-01-25;1;3;Centro Cívico;Verão Curitiba;informacoes
"Roda de Leitura: Crônicas; coleção ""Para gostar de Ler - vol.1""";2019-01-28;2019-01-28;1;4;Centro Cívico;Verão Curitiba;informacoes
Brincadeira e Diversão: Jogos de Tabuleiro;2019-01-29;2019-01-29;1;5;Centro Cívico;Verão Curitiba;informacoes
"Ação educativa sobre a dengue; leptospirose; febre amarela e raiva";2019-01-30;2019-01-30;1;"1;7";Santo Inácio;Verão Curitiba;nan
"Atendimento ao turista: Roteiros Turísticos; conhecendo Curitiba";2019-01-31;2019-01-31;1;"4;5";Santo Inácio;Verão Curitiba;nan
"Ação educativa sobre a dengue; leptospirose; febre amarela e raiva";2019-02-02;2019-02-03;1;"1;7";Santo Inácio;Verão Curitiba;nan
"Ação educativa sobre a dengue; leptospirose; febre amarela e raiva";2019-02-02;2019-02-03;1;"1;7";Santo Inácio;Verão Curitiba;nan
"Ação educativa sobre a dengue; leptospirose; febre amarela e raiva";2019-02-09;2019-02-10;1;"1;7";Santo Inácio;Verão Curitiba;nan
"Ação educativa sobre a dengue; leptospirose; febre amarela e raiva";2019-02-16;2019-02-17;1;"1;7";Augusta;Verão Curitiba;nan
"Ação educativa sobre a dengue; leptospirose; febre amarela e raiva";2019-02-23;2019-02-24;1;"1;7";Augusta;Verão Curitiba;nan
"Ação educativa sobre a dengue; leptospirose; febre amarela e raiva";2019-02-02;2019-02-03;1;"1;7";Augusta;Verão Curitiba;nan
"Ação educativa sobre a dengue; leptospirose; febre amarela e raiva";2019-02-09;2019-02-10;1;"1;7";Augusta;Verão Curitiba;nan
"Ação educativa sobre a dengue; leptospirose; febre amarela e raiva";2019-02-16;2019-02-17;1;"1;7";Boqueirão;Verão Curitiba;nan
"Ação educativa sobre a dengue; leptospirose; febre amarela e raiva";2019-02-23;2019-02-24;1;"1;7";Boqueirão;Verão Curitiba;nan
"Ação educativa sobre a dengue; leptospirose; febre amarela e raiva";2019-02-02;2019-02-03;1;7;Boqueirão;Verão Curitiba;nan
"Ação educativa sobre a dengue; leptospirose; febre amarela e raiva";2019-02-09;2019-02-10;1;"1;7";Boqueirão;Verão Curitiba;nan
Abertura Verão Curitiba – Circo Rhoney Espetacular Circus;2019-02-16;2019-02-17;1;6;Boqueirão;Verão Curitiba;sessao especial
Circo Rhoney Espetacular Circus;2019-02-23;2019-02-24;1;7;Boqueirão;Verão Curitiba;ingressos gratuitos sessao
Circo Rhoney Espetacular Circus;2019-01-11;2019-01-11;1;1;Boqueirão;Verão Curitiba;ingressos gratuitos sessao
Circo Rhoney Espetacular Circus;2019-01-12;2019-01-12;1;"1;7";Boqueirão;Verão Curitiba;ingressos gratuitos sessao
Circo Rhoney Espetacular Circus;2019-01-13;2019-01-13;1;"1;7";Boqueirão;Verão Curitiba;ingressos gratuitos sessao
Circo Rhoney Espetacular Circus;2019-01-19;2019-01-20;1;"1;7";Boqueirão;Verão Curitiba;ingressos gratuitos sessao
Circo Rhoney Espetacular Circus;2019-01-26;2019-01-27;1;"1;7";Boqueirão;Verão Curitiba;ingressos gratuitos sessao
Circo Rhoney Espetacular Circus;2019-02-02;2019-02-03;1;"1;7";Boqueirão;Verão Curitiba;ingressos gratuitos sessao
Circo Rhoney Espetacular Circus;2019-02-09;2019-02-10;1;"1;7";Boqueirão;Verão Curitiba;ingressos gratuitos sessao
Circo Zanchettini;2019-02-16;2019-02-17;1;"1;7";Bigorrilho;Verão Curitiba;ingressos gratuitos sessao
Circo Zanchettini;2019-02-23;2019-02-24;1;"1;7";Bigorrilho;Verão Curitiba;ingressos gratuitos sessao
Circo Zanchettini;2019-01-12;2019-01-13;1;"1;7";Bigorrilho;Verão Curitiba;ingressos gratuitos sessao
Circo Zanchettini;2019-01-19;2019-01-20;1;"1;7";Bigorrilho;Verão Curitiba;ingressos gratuitos sessao
Circo Zanchettini;2019-01-26;2019-01-27;1;"1;7";Bigorrilho;Verão Curitiba;ingressos gratuitos sessao
Circo Zanchettini;2019-02-02;2019-02-03;1;"1;7";Bigorrilho;Verão Curitiba;ingressos gratuitos sessao
Circo Zanchettini;2019-02-09;2019-02-10;1;"1;7";Bigorrilho;Verão Curitiba;ingressos gratuitos sessao
Oficina de música;2019-02-16;2019-02-17;1;7;Ganchinho;Verão Curitiba;nan
Oficina de música;2019-02-23;2019-02-24;1;7;Ganchinho;Verão Curitiba;nan
Ônibus Palco;2019-01-20;2019-01-20;1;1;Ganchinho;Verão Curitiba;nan
Ônibus Palco;2019-01-26;2019-01-26;1;7;Ganchinho;Verão Curitiba;nan
Ônibus Palco;2019-02-03;2019-02-03;1;1;Ganchinho;Verão Curitiba;nan
Ônibus Palco;2019-02-09;2019-02-09;1;7;Ganchinho;Verão Curitiba;nan
Oficina de música;2019-02-17;2019-02-17;1;7;Augusta;Verão Curitiba;nan
Oficina de música;2019-02-23;2019-02-23;1;1;Augusta;Verão Curitiba;nan
Ônibus Palco;2019-01-19;2019-01-19;1;7;Augusta;Verão Curitiba;nan
Ônibus Palco;2019-01-27;2019-01-27;1;1;Augusta;Verão Curitiba;nan
Ônibus Palco;2019-02-02;2019-02-02;1;7;Augusta;Verão Curitiba;nan
Ônibus Palco;2019-02-10;2019-02-10;1;1;Augusta;Verão Curitiba;nan
Recolhimento de lixo eletrônico no Barigui;2019-02-16;2019-02-16;1;7;Bigorrilho;Verão Curitiba;recolhidos computadores monitores impressoras radios equipamentos som aparelhos telefone celulares aparelhos fax televisores cameras fotograficas outros eletronicos alem oleo cozinha material coletado destinado associacoes catadores materiais reciclaveis agua nascente pantanal integrantes programa ecocidadao
"Ação educativa sobre a dengue; leptospirose; febre amarela e raiva";2019-02-24;2019-02-24;1;"1;7";Umbará;Verão Curitiba;nan
"Ação educativa sobre a dengue; leptospirose; febre amarela e raiva";2019-01-12;2019-01-12;1;"1;7";Umbará;Verão Curitiba;nan
"Ação educativa sobre a dengue; leptospirose; febre amarela e raiva";2019-02-02;2019-02-03;1;"1;7";Umbará;Verão Curitiba;nan
"Ação educativa sobre a dengue; leptospirose; febre amarela e raiva";2019-02-09;2019-02-10;1;"1;7";Umbará;Verão Curitiba;nan
Equipe de odontologia faz orientações sobre Saúde Bucal;2019-02-16;2019-02-17;1;"1;7";Augusta;Verão Curitiba;nan
Equipe de odontologia faz orientações sobre Saúde Bucal;2019-02-23;2019-02-24;1;"1;7";Augusta;Verão Curitiba;nan
Equipe de odontologia faz orientações sobre Saúde Bucal;2019-02-02;2019-02-03;1;"1;7";Augusta;Verão Curitiba;nan
Equipe de odontologia faz orientações sobre Saúde Bucal;2019-02-09;2019-02-10;1;"1;7";Augusta;Verão Curitiba;nan
Orientações sobre o Programa Escute o Seu Coração;2019-02-16;2019-02-17;1;"1;7";Boqueirão;Verão Curitiba;nan
Orientações sobre o Programa Escute o Seu Coração;2019-02-23;2019-02-24;1;"1;7";Boqueirão;Verão Curitiba;nan
Orientações sobre o Programa Escute o Seu Coração;2019-02-02;2019-02-03;1;"1;7";Boqueirão;Verão Curitiba;nan
Orientações sobre o Programa Escute o Seu Coração;2019-02-09;2019-02-10;1;"1;7";Boqueirão;Verão Curitiba;nan
Orientações sobre o Programa Escute o Seu Coração;2019-02-16;2019-02-17;1;"1;7";Augusta;Verão Curitiba;nan
Orientações sobre o Programa Escute o Seu Coração;2019-02-23;2019-02-24;1;"1;7";Augusta;Verão Curitiba;nan
Orientações sobre o Programa Escute o Seu Coração;2019-02-02;2019-02-03;1;"1;7";Augusta;Verão Curitiba;nan
Orientações sobre o Programa Escute o Seu Coração;2019-02-09;2019-02-10;1;"1;7";Augusta;Verão Curitiba;nan
Orientações sobre o Programa Escute o Seu Coração;2019-02-16;2019-02-17;1;"1;7";Umbará;Verão Curitiba;nan
Orientações sobre o Programa Escute o Seu Coração;2019-02-23;2019-02-24;1;"1;7";Umbará;Verão Curitiba;nan
Orientações sobre o Programa Escute o Seu Coração;2019-02-02;2019-02-03;1;"1;7";Umbará;Verão Curitiba;nan
Orientações sobre o Programa Escute o Seu Coração;2019-02-09;2019-02-10;1;"1;7";Umbará;Verão Curitiba;nan
Orientações sobre cuidados com temperaturas altas e exposição solar;2019-02-16;2019-02-17;1;"1;7";Boqueirão;Verão Curitiba;nan
Orientações sobre cuidados com temperaturas altas e exposição solar;2019-02-23;2019-02-24;1;"1;7";Boqueirão;Verão Curitiba;nan
Orientações sobre cuidados com temperaturas altas e exposição solar;2019-02-02;2019-02-03;1;"1;7";Boqueirão;Verão Curitiba;nan
Orientações sobre cuidados com temperaturas altas e exposição solar;2019-02-09;2019-02-10;1;"1;7";Boqueirão;Verão Curitiba;nan
Orientações sobre planejamento familiar e saúde bucal;2019-02-16;2019-02-17;1;"1;7";Umbará;Verão Curitiba;nan
Orientações sobre planejamento familiar e saúde bucal;2019-02-23;2019-02-24;1;"1;7";Umbará;Verão Curitiba;nan
Orientações sobre planejamento familiar e saúde bucal;2019-02-02;2019-02-03;1;"1;7";Umbará;Verão Curitiba;nan
Orientações sobre planejamento familiar e saúde bucal;2019-02-09;2019-02-10;1;"1;7";Umbará;Verão Curitiba;nan
1ª Etapa - Curitiba de Vela Rádio Controlada;2019-02-16;2019-02-17;0;*;Boqueirão;Verão Curitiba;nautimodelismo estara presente verao curitiba copa curitiba vela radio controlada flotilha parana vela radio controlada international team curitiba parceria prefeitura curitiba meio secretaria municipal esporte lazer juventude realizam copa curitiba vela radio controlada evento acontecera duas etapas lago parque nautico iguacu boqueirao primeira etapa acontecendo dias segunda dias marcando lancamento encerramento programacoes verao curitiba evento ainda supervisao federacao iatismo parana feip associacao brasileira classe associacao brasileira vela radio controlada abvrc confederacao brasileira vela cbvela atividades abertas publico torcer divertir regatas disputas emocionantes pequenos veleiros irao proporcionar lago parque nautico etapa etapa informacoes
2ª Etapa - Copa Curitiba de Vela Rádio Controlada;2019-02-23;2019-02-24;0;*;Boqueirão;Verão Curitiba;nautimodelismo estara presente verao curitiba copa curitiba vela radio controlada flotilha parana vela radio controlada international team curitiba parceria prefeitura curitiba meio secretaria municipal esporte lazer juventude realizam copa curitiba vela radio controlada evento acontecera duas etapas lago parque nautico iguacu boqueirao primeira etapa aconteceu dias segunda etapa contece dias marcando encerramento programacoes verao curitiba evento ainda supervisao federacao iatismo parana feip associacao brasileira classe associacao brasileira vela radio controlada abvrc confederacao brasileira vela cbvela atividades abertas publico torcer divertir regatas disputas emocionantes pequenos veleiros irao proporcionar lago parque nautico etapa informacoes
FESTIVAL DE FÉRIAS - VERÃO 2019 NA REGIONAL BAIRRO NOVO;2019-01-12;2019-01-13;0;*;Sítio Cercado;Verão Curitiba;dias janeiro secretaria municipal esporte lazer juventure realiza festival ferias verao cel festival ferias realizado outros espacos publicos cidade periodo janeiro fevereiro durante dias semana segunda sexta brincadeiras alegria carinho familias neste periodo ferias algumas atividades atividades esportivas emprestimo materiais esportivos pratica diversas modalidades alem realizacao jogos atividades recreativas jogos tabuleiro pintura muitas diversas atividades projeto jogos pia realizacao oficinas emprestimo materiais pratica bets rolima algumas atividades realizadas somente locais datas especificas acordo caracteristica cada espaco necessidade materiais pessoal
FESTIVAL DE FÉRIAS - VERÃO 2019 NA REGIONAL BAIRRO NOVO;2019-02-23;2019-02-24;0;*;Sítio Cercado;Verão Curitiba;periodo janeiro fevereiro secretaria municipal esporte lazer juventure realiza festival ferias verao cel bairro festival ferias realizado outros espacos publicos cidade periodo janeiro fevereiro durante dias semana segunda sexta brincadeiras alegria carinho familias neste periodo ferias algumas atividades atividades esportivas emprestimo materiais esportivos pratica diversas modalidades alem realizacao jogos atividades recreativas jogos tabuleiro pintura muitas diversas atividades projeto jogos pia realizacao oficinas emprestimo materiais pratica bets rolima algumas atividades realizadas somente locais datas especificas acordo caracteristica cada espaco necessidade materiais pessoal
FESTIVAL DE FÉRIAS - VERÃO 2019 NA REGIONAL BOA VISTA;2019-01-28;2019-01-29;0;*;Bacacheri;Verão Curitiba;periodo janeiro fevereiro secretaria municipal esporte lazer juventure realiza festival ferias verao rua cidadania boa festival ferias realizado outros espacos publicos cidade periodo janeiro fevereiro durante dias semana segunda sexta brincadeiras alegria carinho familias neste periodo ferias algumas atividades atividades esportivas emprestimo materiais esportivos pratica diversas modalidades alem realizacao jogos atividades recreativas jogos tabuleiro pintura muitas diversas atividades projeto jogos pia realizacao oficinas emprestimo materiais pratica bets rolima algumas atividades realizadas somente locais datas especificas acordo caracteristica cada espaco necessidade materiais pessoal
FESTIVAL DE FÉRIAS - VERÃO 2019 NA REGIONAL BOQUEIRÃO;2019-01-30;2019-02-01;0;*;Boqueirão;Verão Curitiba;periodo janeiro fevereiro secretaria municipal esporte lazer juventure realiza festival ferias verao rua cidadania festival ferias realizado outros espacos publicos cidade periodo janeiro fevereiro durante dias semana segunda sexta brincadeiras alegria carinho familias neste periodo ferias algumas atividades atividades esportivas emprestimo materiais esportivos pratica diversas modalidades alem realizacao jogos atividades recreativas jogos tabuleiro pintura muitas diversas atividades projeto jogos pia realizacao oficinas emprestimo materiais pratica bets rolima algumas atividades realizadas somente locais datas especificas acordo caracteristica cada espaco necessidade materiais pessoal
FESTIVAL DE FÉRIAS - VERÃO 2019 NA REGIONAL CAJURU;2019-01-28;2019-02-02;0;*;Cajuru;Verão Curitiba;periodo janeiro fevereiro secretaria municipal esporte lazer juventure realiza festival ferias verao rua cidadania festival ferias realizado outros espacos publicos cidade periodo janeiro fevereiro durante dias semana segunda sexta brincadeiras alegria carinho familias neste periodo ferias algumas atividades atividades esportivas emprestimo materiais esportivos pratica diversas modalidades alem realizacao jogos atividades recreativas jogos tabuleiro pintura muitas diversas atividades projeto jogos pia realizacao oficinas emprestimo materiais pratica bets rolima algumas atividades realizadas somente locais datas especificas acordo caracteristica cada espaco necessidade materiais pessoal
FESTIVAL DE FÉRIAS - VERÃO 2019 NA REGIONAL CIC;2019-01-28;2019-02-02;0;*;Cidade Industrial de Curitiba;Verão Curitiba;periodo janeiro fevereiro secretaria municipal esporte lazer juventure realiza festival ferias verao centro iniciacao esporte festival ferias realizado outros espacos publicos cidade periodo janeiro fevereiro durante dias semana segunda sexta brincadeiras alegria carinho familias neste periodo ferias algumas atividades atividades esportivas emprestimo materiais esportivos pratica diversas modalidades alem realizacao jogos atividades recreativas jogos tabuleiro pintura muitas diversas atividades projeto jogos pia realizacao oficinas emprestimo materiais pratica bets rolima algumas atividades realizadas somente locais datas especificas acordo caracteristica cada espaco necessidade materiais pessoal
FESTIVAL DE FÉRIAS - VERÃO 2019 NA REGIONAL MATRIZ;2019-01-28;2019-02-02;0;*;Centro;Verão Curitiba;periodo janeiro fevereiro secretaria municipal esporte lazer juventure realiza festival ferias verao praca oswaldo festival ferias realizado outros espacos publicos cidade periodo janeiro fevereiro durante dias semana segunda sexta brincadeiras alegria carinho familias neste periodo ferias algumas atividades atividades esportivas emprestimo materiais esportivos pratica diversas modalidades alem realizacao jogos atividades recreativas jogos tabuleiro pintura muitas diversas atividades projeto jogos pia realizacao oficinas emprestimo materiais pratica bets rolima algumas atividades realizadas somente locais datas especificas acordo caracteristica cada espaco necessidade materiais pessoal
FESTIVAL DE FÉRIAS - VERÃO 2019 NA REGIONAL MATRIZ;2019-01-28;2019-02-02;0;*;Prado Velho;Verão Curitiba;periodo fevereiro secretaria municipal esporte lazer juventure realiza festival ferias verao cras vila festival ferias realizado outros espacos publicos cidade periodo janeiro fevereiro durante dias semana segunda sexta brincadeiras alegria carinho familias neste periodo ferias algumas atividades atividades esportivas emprestimo materiais esportivos pratica diversas modalidades alem realizacao jogos atividades recreativas jogos tabuleiro pintura muitas diversas atividades projeto jogos pia realizacao oficinas emprestimo materiais pratica bets rolima algumas atividades realizadas somente locais datas especificas acordo caracteristica cada espaco necessidade materiais pessoal
FESTIVAL DE FÉRIAS - VERÃO 2019 NA REGIONAL PINHEIRINHO;2019-01-28;2019-02-02;0;*;Pinheirinho;Verão Curitiba;periodo janeiro fevereiro secretaria municipal esporte lazer juventure realiza festival ferias verao rua cidadania festival ferias realizado outros espacos publicos cidade periodo janeiro fevereiro durante dias semana segunda sexta brincadeiras alegria carinho familias neste periodo ferias algumas atividades atividades esportivas emprestimo materiais esportivos pratica diversas modalidades alem realizacao jogos atividades recreativas jogos tabuleiro pintura muitas diversas atividades projeto jogos pia realizacao oficinas emprestimo materiais pratica bets rolima algumas atividades realizadas somente locais datas especificas acordo caracteristica cada espaco necessidade materiais pessoal
FESTIVAL DE FÉRIAS - VERÃO 2019 NA REGIONAL PINHEIRINHO;2019-02-04;2019-02-08;0;*;Pinheirinho;Verão Curitiba;dias janeiro secretaria municipal esporte lazer juventure realiza festival ferias verao centro esporte lazer zumbi festival ferias realizado outros espacos publicos cidade periodo janeiro fevereiro durante dias semana segunda sexta brincadeiras alegria carinho familias neste periodo ferias algumas atividades atividades esportivas emprestimo materiais esportivos pratica diversas modalidades alem realizacao jogos atividades recreativas jogos tabuleiro pintura muitas diversas atividades projeto jogos pia realizacao oficinas emprestimo materiais pratica bets rolima algumas atividades realizadas somente locais datas especificas acordo caracteristica cada espaco necessidade materiais pessoal
FESTIVAL DE FÉRIAS - VERÃO 2019 NA REGIONAL PORTÃO;2019-01-30;2019-02-01;0;*;Fazendinha;Verão Curitiba;periodo janeiro secretaria municipal esporte lazer juventure realiza festival ferias verao rua cidadania festival ferias realizado outros espacos publicos cidade periodo janeiro fevereiro durante dias semana segunda sexta brincadeiras alegria carinho familias neste periodo ferias algumas atividades atividades esportivas emprestimo materiais esportivos pratica diversas modalidades alem realizacao jogos atividades recreativas jogos tabuleiro pintura muitas diversas atividades projeto jogos pia realizacao oficinas emprestimo materiais pratica bets rolima algumas atividades realizadas somente locais datas especificas acordo caracteristica cada espaco necessidade materiais pessoal
FESTIVAL DE FÉRIAS - VERÃO 2019 NA REGIONAL PORTÃO;2019-01-28;2019-01-29;0;*;Água Verde;Verão Curitiba;periodo janeiro fevereiro secretaria municipal esporte lazer juventure realiza festival ferias verao praca afonso festival ferias realizado outros espacos publicos cidade periodo janeiro fevereiro durante dias semana segunda sexta brincadeiras alegria carinho familias neste periodo ferias algumas atividades atividades esportivas emprestimo materiais esportivos pratica diversas modalidades alem realizacao jogos atividades recreativas jogos tabuleiro pintura muitas diversas atividades projeto jogos pia realizacao oficinas emprestimo materiais pratica bets rolima algumas atividades realizadas somente locais datas especificas acordo caracteristica cada espaco necessidade materiais pessoal
FESTIVAL DE FÉRIAS - VERÃO 2019 NA REGIONAL SANTA FELICIDADE;2019-01-28;2019-01-30;0;*;Santa Felicidade;Verão Curitiba;periodo janeiro fevereiro secretaria municipal esporte lazer juventure realiza festival ferias verao rua cidadania santa festival ferias realizado outros espacos publicos cidade periodo janeiro fevereiro durante dias semana segunda sexta brincadeiras alegria carinho familias neste periodo ferias algumas atividades atividades esportivas emprestimo materiais esportivos pratica diversas modalidades alem realizacao jogos atividades recreativas jogos tabuleiro pintura muitas diversas atividades projeto jogos pia realizacao oficinas emprestimo materiais pratica bets rolima algumas atividades realizadas somente locais datas especificas acordo caracteristica cada espaco necessidade materiais pessoal
FESTIVAL DE FÉRIAS - VERÃO 2019 NA REGIONAL TATUQUARA;2019-01-31;2019-02-02;0;*;Tatuquara;Verão Curitiba;periodo janeiro fevereiro secretaria municipal esporte lazer juventure realiza festival ferias verao centro esporte lazer santa festival ferias realizado outros espacos publicos cidade periodo janeiro fevereiro durante dias semana segunda sexta brincadeiras alegria carinho familias neste periodo ferias algumas atividades atividades esportivas emprestimo materiais esportivos pratica diversas modalidades alem realizacao jogos atividades recreativas jogos tabuleiro pintura muitas diversas atividades projeto jogos pia realizacao oficinas emprestimo materiais pratica bets rolima algumas atividades realizadas somente locais datas especificas acordo caracteristica cada espaco necessidade materiais pessoal
VERÃO CURITIBA - LAZER NA RUA XV;2019-01-28;2019-02-02;1;7;Centro;Verão Curitiba;apos periodo recesso final ano ferias programa lazer xv retornou janeiro aumentar temperatura rua xv novembro durante verao curitiba praca osorio bondinho passando todo calcadao rua xv novembro praca santos andrade lazer xv incentiva participacao coletiva inclusao social utilizando atividade lazer brincadeiras elementos socializadores retomando espacos publicos somente local passagem sim locais convivio urbano meio praticas saudaveis esporte lazer principais atividades pintura papel jogos gigantes cama avaliacao orientacoes pratica atividades infantil biciletaobs atividades podem ser alteradas suspensas devido condicoes
Brinquedos Infláveis - Festival de Férias Verão Curitiba 2019;2019-01-28;2019-02-02;0;*;Cidade Industrial de Curitiba;Verão Curitiba;brinquedos infaveis festival ferias regional cicno dia centro iniciacao esporte cic recebe brinquedos infaveis festival ferias verao curitiba criancas poderao brincar divertir futebol balao inflavel alem muitos jogos diversas atividades pais filhos possam brincar juntos neste periodo ferias periodo janeiro fevereiro segunda sexta prefeitura curitiba realiza festival ferias verao espacos publicos todas regioes cidade confira locais enderecos horarios bairro centro esporte lazer xapinhal rua francisco claudino ferreira centro esporte lazer bairro novo rua ourizona rua cidadania boa vista avenida parana rua cidadania boqueirao avenida marechal floriano peixoto rua cidadania cajuru avenida prefeito mauricio fruet centro iniciacao esporte rua sebastiao ribeiro batista praca oswaldo cruz rua brigadeiro franco cras vila torres rua aquelino orestes baglioli centro esporte lazer zumbi palmares rua lothario boutin rua cidadania pinheirinho avenida winston churchill rua cidadania fazendinha rua carlos klemtz praca afonso botelho brigadeiro franco x engenheiros reboucas rua cidadania santa felicidade rua santa bertila boscardin centro esporte lazer santa rita rua carlos munhoz rocha
