EVE_TITULO,EVE_DATA_INICIO,EVE_DATA_TERMINO,EVE_REPETIR,EVE_DIA,BAI_DESCRICAO,ETE_DESCRICAO
Esporte na Praça,2016-06-04,2016-06-04,0,,Sítio Cercado,Esporte
Torneio PASE Futsal Sub 11,2016-06-04,2016-06-04,0,,Tatuquara,Esporte
Festival de Cultura Popular,2016-06-04,2016-06-04,0,,Sítio Cercado,Cultura
6ª Conferência Municipal da Cidade de Curitiba - 6ª COMCURITIBA,2016-06-15,2016-06-18,1,4;6;7,Centro,Simpósios/Similares
Ciclo de Palestras para Universitários,2016-11-04,2016-11-04,0,,Santo Inácio,Cursos
CONSULTAS PÚBLICAS LOA 2017 - CURITIBA,2016-06-24,2016-06-24,0,,Santo Inácio,Simpósios/Similares
IV Conferência Municipal de Políticas Sobre Drogas,2016-06-24,2016-06-24,0,,Jardim Botânico,Simpósios/Similares
IV Conferência Municipal de Políticas Sobre Drogas,2016-06-25,2016-06-25,0,,Jardim Botânico,Simpósios/Similares
Festa Junina Regional Boqueirão,2016-06-11,2016-06-11,0,,Xaxim,Lazer
Copa dos Campeões da Juventude- Futebol de Campo,2016-06-15,2016-06-15,0,,Santa Felicidade,Esporte
Jogos do PASE - Futsal,2016-06-17,2016-06-17,0,,Sítio Cercado,Esporte
Festa Junina Regional Tatuquara,2016-06-17,2016-06-17,0,,Tatuquara,Esporte
1º Arraial Especial – Regional Boa vista,2016-06-17,2016-06-17,0,,Tinguí,Lazer
Torneio de Vôlei Santa Felicidade,2016-06-18,2016-06-18,0,,Santa Felicidade,Esporte
2º Torneio de Voleibol de Quarteto,2016-06-18,2016-06-18,0,,Cajuru,Lazer
Festival PASE,2016-06-19,2016-06-19,0,,Cidade Industrial de Curitiba,Esporte
Festival de Tênis,2016-06-20,2016-06-20,0,,Capão da Imbuia,Esporte
Cem Voltas - Matriz,2016-06-08,2016-06-29,1,4,Jardim Botânico,Esporte
Reinauguração Casa da Leitura,2016-06-14,2016-06-14,0,,Alto Boqueirão,Inaugurações
Corte de Cabelo,2016-06-15,2016-06-15,0,,Cidade Industrial de Curitiba,Esporte
Voz e Violão,2016-06-14,2016-06-14,0,,Cajuru,Cultura
Aulão de Zumba,2016-06-19,2016-06-19,0,,Portão,Lazer
Domingo Recreativo no MUMA,2016-06-19,2016-06-19,0,,Portão,Lazer
EXPOSIÇÃO DIFERENÇAS,2016-06-20,2016-08-28,0,,Bacacheri,Cultura
ARRAIÁ DA CIDADANIA CAJURU,2016-06-30,2016-06-30,1,5,Capão da Imbuia,Cultura
NOSSA FEIRA,2016-06-27,2016-06-27,1,2,Uberaba,Feiras
Jogos do PASE 2016 – Basquetebol,2016-06-22,2016-06-22,0,,Boqueirão,Esporte
Copa dos Campeões da Juventude- Futebol de Campo,2016-06-22,2016-06-22,0,,Santa Felicidade,Esporte
Jogos do PASE 2016 – Futsal,2016-06-24,2016-06-24,0,,Tatuquara,Esporte
Final da Copa Curitiba de Futebol Sub-15,2016-06-25,2016-06-25,0,,Santa Felicidade,Esporte
Inauguração Nossa Feira Xaxim,2016-06-30,2016-06-30,1,5,Xaxim,Inaugurações
Inauguração Armazém da Familia Vila Torres,2016-06-25,2016-06-25,0,,Rebouças,Inaugurações
Jogos do PASE 2016 – Futsal,2016-06-30,2016-06-30,0,,Santa Felicidade,Esporte
Jogos do PASE 2016 – Basquetebol,2016-07-01,2016-07-01,0,,Bacacheri,Esporte
Festival PASE de Voleibol e Basquete,2016-07-02,2016-07-02,0,,Santa Felicidade,Esporte
Copa Trieste,2016-07-02,2016-07-02,0,,Santa Felicidade,Esporte
Arraiá da Cidadania do Cajuru,2016-06-30,2016-06-30,0,,Cajuru,Lazer
Festa Junina de Santa Felicidade,2016-07-01,2016-07-01,0,,Santa Felicidade,Lazer
Festa Junina Portal do Futuro Boqueirão,2016-06-30,2016-06-30,0,,Alto Boqueirão,Lazer
Ciclo de Leitura Ebulição Marginal 2016,2016-06-29,2016-06-29,0,,Alto Boqueirão,Cultura
Ciclo de Leitura Ebulição Marginal 2016,2016-06-30,2016-06-30,0,,Alto Boqueirão,Cultura
Ciclo de Leitura Ebulição Marginal 2016 – Sarau “A cultura resiste”,2016-07-01,2016-07-01,0,,Alto Boqueirão,Cultura
Matrículas para atividades sistemáticas,2016-07-01,2016-07-01,0,,Portão,Esporte
Ciclo de Leitura Ebulição Marginal 2016 – Manobra literária,2016-07-02,2016-07-02,0,,Alto Boqueirão,Cultura
Corte e Costura,2016-07-04,2016-07-04,0,,Fazendinha,Cursos
FESTA JULINA,2016-07-02,2016-07-02,1,7,Sítio Cercado,Eventos Regionais
FESTA JULINA,2016-07-02,2016-07-02,1,7,Sítio Cercado,Eventos Regionais
FESTA JULINA,2016-07-02,2016-07-02,1,7,Sítio Cercado,Eventos Regionais
FESTA JULINA,2016-07-02,2016-07-02,1,7,Sítio Cercado,Eventos Regionais
FESTA JULINA,2016-07-02,2016-07-02,1,7,Sítio Cercado,Eventos Regionais
FESTA JULINA,2016-07-02,2016-07-02,1,7,Sítio Cercado,Eventos Regionais
FESTA JULINA,2016-07-02,2016-07-02,1,7,Sítio Cercado,Eventos Regionais
FESTA JULINA,2016-07-06,2016-07-06,1,7,Sítio Cercado,Eventos Regionais
FESTA JULINA,2016-07-09,2016-07-09,1,7,Sítio Cercado,Eventos Regionais
CURSO DE TECLADO,2016-07-05,2016-07-26,1,3,Sítio Cercado,Cultura
CURSO DE VIOLÃO POPULAR,2016-07-07,2016-07-28,1,5,Sítio Cercado,Cultura
CURSO DE VIOLÃO POPULAR,2016-07-08,2016-07-29,1,6,Sítio Cercado,Cultura
REUNIÃO DO CONSELHO LOCAL DE SAUDE DO SAMBAQUI,2016-07-04,2016-07-04,1,2,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAUDE DO COQUEIROS,2016-07-05,2016-07-05,1,3,Sítio Cercado,Saúde
REUNIAO DO CONSELHO LOCAL DE SAUDE DO SALVADOR ALLENDE,2016-07-05,2016-07-05,1,3,Sítio Cercado,Saúde
REUNIÃO DA COMISSÃO DE SAUDE LOCAL DA UPA SITIO CERCADO,2016-07-07,2016-07-07,0,,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAUDE DO SÃO JOÃO DEL REY,2016-07-07,2016-07-07,1,5,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAUDE DO XAPINHAL,2016-07-11,2016-07-11,1,2,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAUDE BAIRRO NOVO,2016-07-11,2016-07-11,1,2,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAUDE DO JOÃO CÂNDIDO,2016-07-12,2016-07-12,1,3,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAUDE DO OSTERNACK,2016-07-12,2016-07-12,1,3,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO DISTRITAL DE SAUDE BAIRRO NOVO,2016-07-14,2016-07-14,1,5,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAUDE DO PARIGOT DE SOUZA,2016-07-19,2016-07-19,1,3,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAUDE NOSSA SENHORA APARECIDA,2016-07-20,2016-07-20,1,4,Sítio Cercado,Saúde
REUNIÃO DA COMISSÃO DA MATERNIDADE DO BAIRRO NOVO,2016-07-21,2016-07-21,1,3,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAUDE DA UNIDADE DE SAUDE UMBARÁ I,2016-07-25,2016-07-25,1,2,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAUDE DA UNIDADE DE SAUDE UMBARÁ II,2016-07-27,2016-07-27,1,4,Sítio Cercado,Saúde
Jogos do PASE – Futsal,2016-07-08,2016-07-08,0,,Sítio Cercado,Esporte
1º Corrida Popular de Corrida de Rua,2016-07-10,2016-07-10,0,,Boqueirão,Esporte
Encerramento Doe Sangue Pelo Esporte,2016-07-06,2016-07-06,0,,Mercês,Esporte
Corrida Cem Voltas,2017-08-02,2017-08-02,1,4,Jardim Botânico,Esporte
Festa Julina Regional Bairro Novo,2016-07-08,2016-07-08,0,,Sítio Cercado,Lazer
3º CAMP de Basquete,2016-07-11,2016-07-15,0,,Tinguí,Esporte
Baile Julino,2016-07-07,2016-07-07,0,,Cidade Industrial de Curitiba,Lazer
Festival PASE,2016-07-09,2016-07-09,0,,Cidade Industrial de Curitiba,Esporte
Semana Olímpica,2016-07-05,2016-07-07,0,,Alto Boqueirão,Esporte
Festival de Inverno no Portal do Boqueirão,2016-07-11,2016-07-11,0,,Alto Boqueirão,Lazer
Festa Julina,2016-07-07,2016-07-07,0,,Portão,Lazer
Aulão de Zumba,2016-07-11,2016-07-11,0,,Portão,Esporte
Dança Circular,2016-07-06,2016-07-06,0,,Centro,Lazer
Aulão de Alongamento,2016-07-04,2016-07-29,1,3,Centro,Esporte
Dança Circular,2016-07-04,2016-07-29,1,4,Centro,Lazer
Aulão de Circuito Funcional,2016-07-09,2016-07-09,0,,Sítio Cercado,Esporte
SMELJ na Praça,2016-07-16,2016-07-16,0,,Bacacheri,Esporte
Festival de Tênis,2016-07-16,2016-07-16,0,,Sítio Cercado,Esporte
Jogos Municipais Femininos - Futsal,2016-07-26,2016-07-26,0,,Fazendinha,Esporte
Festa Julina,2016-07-30,2016-07-30,0,,Cidade Industrial de Curitiba,Lazer
Aulão de Alongamento,2016-07-26,2016-07-28,1,3;5,Cidade Industrial de Curitiba,Esporte
Aulão de Alongamento,2016-07-30,2016-07-30,0,,Tatuquara,Esporte
Aulão de Ginástica,2016-07-27,2016-07-27,0,,Cidade Industrial de Curitiba,Esporte
Aulão de Ginástica,2016-07-30,2016-07-30,0,,Tatuquara,Esporte
Oficina de Tênis de Mesa,2016-07-30,2016-07-30,0,,Tatuquara,Esporte
Festival de Inverno no Portal,2016-07-26,2016-07-28,0,,Alto Boqueirão,Lazer
CURSO DE TECLADO,2016-08-01,2016-08-29,1,2;3,Sítio Cercado,Cultura
DESENHO ARTÍSTICO,2016-08-01,2016-08-30,1,5,Sítio Cercado,Cultura
CURSO DE VIOLÃO POPULAR,2016-08-03,2016-08-31,1,5;6,Sítio Cercado,Cultura
"OFICINA ""VIVÊNCIA TEATRAL""",2016-08-04,2016-08-25,1,3,Sítio Cercado,Cultura
AÇÃO PERFORMÁTICA INTERATIVA DO ESCREVEDOR DE HISTÓRIAS,2016-08-04,2016-08-26,1,4,Sítio Cercado,Cultura
(IN)FORMANDO NOVOS TALENTOS,2016-08-02,2016-08-02,1,3,Sítio Cercado,Cultura
PROGRAMA 135 - ANIMAÇÕES PARA A PRIMEIRA INFÂNCIA,2016-08-03,2016-08-03,1,5,Ganchinho,Cultura
OFICINA DE PERCUSSÃO BRASILEIRA E AFRO-BRASILEIRA,2016-08-16,2016-08-16,1,3,Sítio Cercado,Cultura
Jogos do PASE – Voleibol,2016-08-18,2016-08-18,0,,Sítio Cercado,Esporte
Copa Trieste,2016-08-23,2016-08-23,0,,Santa Felicidade,Esporte
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DO SAMBAQUI,2016-08-05,2016-08-05,1,2,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAÚDE,2016-08-06,2016-08-06,1,3,Sítio Cercado,Saúde
Cem Voltas – Centro de Esporte e Lazer Velódromo,2016-08-01,2016-08-01,1,2,Jardim Botânico,Esporte
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DO SALVADOR ALLENDE,2016-08-02,2016-08-02,1,3,Sítio Cercado,Saúde
Flash Mob no Hospital de Clínicas,2016-08-08,2016-08-29,0,,Alto da Glória,Lazer
REUNIÃO DA COMISSÃO DE SAUDE LOCAL DA UPA SITIO CERCADO,2016-08-02,2016-08-02,1,5,Sítio Cercado,Saúde
Roda de Leitura: Livros do vestibular (Machado de Assis),2016-08-05,2016-08-05,0,,Alto Boqueirão,Cultura
Oficina de Tênis de Mesa,2016-08-04,2016-08-04,0,,Tatuquara,Esporte
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DO SÃO JOÃO DEL REY,2016-08-03,2016-08-03,1,5,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DO XAPINHAL,2016-08-06,2016-08-06,1,2,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DA UMS BAIRRO NOVO,2016-08-04,2016-08-04,1,2,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DO JOÃO CÂNDIDO,2016-08-08,2016-08-08,1,3,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DO OSTERNACK,2016-08-08,2016-08-08,1,3,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO DISTRITAL DE SAÚDE,2016-08-09,2016-08-09,1,5,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DO PARIGOT DE SOUZA,2016-08-09,2016-08-09,1,3,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DA UMS NOSSA SENHORA APARECIDA,2016-08-11,2016-08-11,1,4,Sítio Cercado,Saúde
REUNIÃO DA COMISSÃO DA MATERNIDADE DO BAIRRO NOVO,2016-08-16,2016-08-16,1,5,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DA UMS UMBARÁ I,2016-08-17,2016-08-17,1,2,Umbará,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DA UMS UMBARÁ II,2016-08-18,2016-08-18,1,4,Sítio Cercado,Saúde
Brincadeira Tem Hora,2016-08-29,2016-08-29,0,,Santa Felicidade,Lazer
Caravana do Esporte e Caravana das Artes,2016-08-24,2016-08-24,0,,Alto Boqueirão,Esporte
Pintura em Tela,2016-08-12,2016-08-12,1,2,Sítio Cercado,Cultura
Copa Curitiba de Xadrez - 3ª etapa,2016-08-09,2016-08-11,0,,Santo Inácio,Esporte
Circuito de Corrida de Rua - 3ª etapa,2016-08-01,2016-08-29,0,,Boqueirão,Esporte
Jogos do PASE– Futsal,2016-08-20,2016-08-20,0,,Cajuru,Esporte
Jogos do PASE– Futsal,2016-08-21,2016-08-21,0,,Cajuru,Esporte
Jogos do PASE– Futsal,2016-08-18,2016-08-18,0,,Santa Felicidade,Esporte
Mostra de Dança Regional Boa Vista,2016-08-19,2016-08-19,0,,Tinguí,Lazer
Implantação da horta no Portal,2016-08-20,2016-08-20,0,,Alto Boqueirão,Educação
Aulão de Zumba,2016-08-21,2016-08-21,0,,Sítio Cercado,Esporte
Aulão de pilates,2016-08-20,2016-08-20,0,,Sítio Cercado,Esporte
Aulão Master de Zumba Brasil,2016-08-20,2016-08-20,0,,Portão,Esporte
Curso de Corte e Costura,2016-08-20,2016-08-20,0,,Fazendinha,Cursos
TÉCNICA VOCAL E PRÁTICAS DE CANTO CORAL,2016-08-20,2016-08-20,1,4,Sítio Cercado,Cultura
Cem Voltas – Centro de Esporte e Lazer Velódromo,2016-08-22,2016-08-22,1,5,Jardim Botânico,Esporte
6º Cajuru Fitness Day,2016-08-21,2016-08-28,0,,Cajuru,Esporte
Corrida de Revezamento - Tatuquara,2016-09-01,2016-12-31,0,,Tatuquara,Esporte
Capoeira - Exame de Corda,2016-09-01,2016-09-01,0,,Portão,Esporte
Desfile Cívico da Regional Pinheirinho,2016-09-02,2016-09-02,0,,Capão Raso,Cultura
Contação de histórias – Casa da leitura Marcos Prado,2016-09-03,2016-09-03,0,,Alto Boqueirão,Cultura
Aulão de Circuito Funcional,2016-09-04,2016-09-04,0,,Sítio Cercado,Esporte
Oficina de Jogos de Tabuleiro,2016-09-01,2016-09-01,0,,Tatuquara,Lazer
Brincadeira Tem Hora / CurititibAtivaAção,2016-09-03,2016-09-03,1,7,Sítio Cercado,Esporte
Rua de Lazer,2016-09-03,2016-09-03,1,7,Sítio Cercado,Lazer
PEDALA CURITIBA - BAIRRO NOVO,2016-09-03,2016-09-03,1,2,Sítio Cercado,Esporte
ESPORTE NA PRAÇA,2016-09-03,2016-09-03,1,7,Sítio Cercado,Esporte
RUA DE LAZER,2016-09-05,2016-09-05,1,7,Sítio Cercado,Lazer
PEDALA CURITIBA - BAIRRO NOVO,2016-09-10,2016-09-10,1,2,Sítio Cercado,Esporte
BRINCADEIRA TEM HORA,2016-09-10,2016-09-10,1,7,Sítio Cercado,Lazer
BRINCADEIRA TEM HORA,2016-09-12,2016-09-12,1,7,Sítio Cercado,Lazer
PEDALA CURITIBA - BAIRRO NOVO,2016-09-17,2016-09-17,1,2,Sítio Cercado,Esporte
ESPORTE NA PRAÇA,2016-09-17,2016-09-17,1,7,Sítio Cercado,Esporte
RUA DE LAZER,2016-09-19,2016-09-19,1,7,Sítio Cercado,Lazer
PEDALA CURITIBA - BAIRRO NOVO,2016-09-24,2016-09-24,1,2,Sítio Cercado,Esporte
PINTURA EM TELA,2016-09-24,2016-09-24,1,2,Sítio Cercado,Cultura
CURSO DE TECLADO,2016-09-26,2016-09-26,1,2;3,Sítio Cercado,Cultura
CURSO DE VIOLINO,2016-09-05,2016-09-05,1,4,Sítio Cercado,Cultura
DESENHO ARTÍSTICO,2016-09-05,2016-09-27,1,5,Sítio Cercado,Cultura
CURSO DE VIOLÃO POPULAR,2016-09-14,2016-09-28,1,5;6,Sítio Cercado,Cultura
15º FESTIVAL DE MÁGICAS,2016-09-01,2016-09-01,1,4,Sítio Cercado,Cultura
15º FESTIVAL DE MÁGICAS,2016-09-01,2016-09-30,1,5,Sítio Cercado,Cultura
PROGRAMA 135 - ANIMAÇÃO PARA A PRIMEIRA INFÃNCIA 2,2016-09-14,2016-09-14,1,5,Sítio Cercado,Cultura
A Magia de Um Palhaço,2016-09-15,2016-09-15,1,5,Alto Boqueirão,Cultura
Jogos PASE,2016-09-29,2016-09-29,0,,Sítio Cercado,Esporte
Jogos PASE,2016-09-29,2016-09-29,0,,Fazendinha,Esporte
Festival PASE,2016-09-20,2016-09-20,0,,Cidade Industrial de Curitiba,Esporte
Torneio de Voleibol 4X4,2016-09-23,2016-09-23,0,,Cajuru,Esporte
Dança Curitiba – Mostra Regional Tatuquara,2016-09-24,2016-09-24,0,,Tatuquara,Lazer
Apresentação de Dança Folclórica,2016-09-24,2016-09-24,0,,Centro,Lazer
Tarde de autógrafos do livro de receitas Master Chef Júnior Matriz,2016-09-24,2016-09-24,0,,Centro,Educação
Aulão de Alongamento,2016-09-24,2016-09-24,0,,Centro,Esporte
Comemoração de 3 anos do Portal do Futuro Cajuru,2016-09-24,2016-09-24,0,,Cajuru,Lazer
Aniversário do Portal do Futuro Boqueirão,2016-09-24,2016-09-24,0,,Alto Boqueirão,Lazer
Matrículas para as Oficinas de Violão e Inglês,2016-09-24,2016-09-24,0,,Portão,Cursos
Seletiva Vôlei de Praia Masculino,2016-09-24,2016-09-24,0,,Boqueirão,Esporte
Jogos PASE,2016-09-20,2016-09-20,0,,Pinheirinho,Esporte
Brincadeira Tem Hora,2015-10-01,2015-10-01,0,,Fazendinha,Lazer
Baile da Primavera,2016-09-30,2016-09-30,0,,Hauer,Lazer
Baile da Melhor Idade,2016-10-01,2016-10-01,0,,Cajuru,Lazer
Aula de Move Dance,2016-09-30,2016-09-30,1,2;4,Alto Boqueirão,Esporte
Moonwalker Dance,2016-09-28,2016-09-28,1,3;5,Alto Boqueirão,Lazer
Roda de leitura para o vestibular,2016-09-26,2016-12-04,0,,Alto Boqueirão,Cultura
Contação de histórias,2016-09-27,2016-10-04,0,,Alto Boqueirão,Cultura
11º Circuito de Corridas Rústicas das Indústrias- Etapa Bosch,2016-09-28,2016-09-28,0,,Cidade Industrial de Curitiba,Esporte
Copa Trieste- Futebol,2016-09-28,2016-09-28,0,,Santa Felicidade,Esporte
Brincadeira Tem Hora,2016-10-09,2016-10-09,0,,Campo Comprido,Lazer
Aulão de Ginástica – Campanha de arrecadação de brinquedos para o Dia,2016-10-08,2016-10-08,0,,Cajuru,Esporte
Dez Passos para uma alimentação saudável,2016-10-05,2016-10-05,0,,Rebouças,Saúde
Rua de Lazer,2016-10-05,2016-10-05,1,7,Sítio Cercado,Esporte
PEDALA CURITIBA - BAIRRO NOVO,2016-10-05,2016-10-05,1,2,Sítio Cercado,Esporte
BAILE DA PRIMAVERA,2016-10-15,2016-10-15,1,6,Sítio Cercado,Lazer
RUA DE LAZER,2016-10-17,2016-10-17,1,7,Sítio Cercado,Esporte
ESPORTE NA PRAÇA,2016-10-21,2016-10-21,1,7,Sítio Cercado,Esporte
PEDALA CURITIBA - BAIRRO NOVO,2016-10-22,2016-10-22,1,2,Sítio Cercado,Esporte
PEDALA CURITIBA - BAIRRO NOVO,2016-10-22,2016-10-22,1,2,Sítio Cercado,Esporte
Copa Trieste- Futsal e Society,2016-10-24,2016-10-24,0,,Santa Felicidade,Esporte
Dia de Brincar Rosa,2016-10-31,2016-10-31,0,,São Lourenço,Lazer
Oficina de Tênis de Mesa,2016-10-15,2016-10-15,0,,Tatuquara,Esporte
Oficina de Maquiagem Outubro Rosa,2016-10-14,2016-10-14,0,,Centro,Lazer
Aulão de Zumba – Outubro Rosa,2016-10-15,2016-10-15,0,,Alto Boqueirão,Lazer
Pintura em Tela,2016-10-15,2016-10-15,1,2,Sítio Cercado,Cultura
Curso de Teclado,2016-10-17,2016-10-17,1,2;3,Sítio Cercado,Cultura
Violino,2016-10-03,2016-10-31,1,4,Sítio Cercado,Cultura
Desenho Artístico,2016-10-03,2016-10-31,1,5,Sítio Cercado,Cultura
Curso de Violão Popular,2016-10-05,2016-10-26,1,5;6,Sítio Cercado,Cultura
Filme - O Tempo que for preciso,2016-10-06,2016-10-27,1,2,Sítio Cercado,Cultura
Projeto Kombo Autoral,2016-10-06,2016-10-28,1,6,Sítio Cercado,Cultura
A Magia de Um Palhaço,2016-10-03,2016-10-03,1,2,Alto Boqueirão,Cultura
Caminhada Outubro Rosa,2016-10-07,2016-10-07,1,5,Sítio Cercado,Saúde
Caminhada Outubro Rosa,2016-10-10,2016-10-10,1,5,Sítio Cercado,Eventos Regionais
Jogos Municipais Femininos– Handebol,2016-10-06,2016-10-06,0,,São Braz,Esporte
Baile da Primavera,2016-10-06,2016-10-06,0,,Sítio Cercado,Lazer
Torneio Leões do Vôlei,2016-10-23,2016-10-23,0,,Santa Felicidade,Esporte
Aulão de Ginástica “Outubro Rosa”,2016-10-21,2016-10-21,0,,Cajuru,Lazer
Caminhada Outubro Rosa,2016-10-22,2016-10-22,0,,Santa Felicidade,Lazer
Jogos Femininos- Futsal,2016-10-19,2016-10-19,0,,Xaxim,Esporte
1ª Caminhada Zumbi,2016-10-21,2016-10-21,0,,Cajuru,Esporte
Caminhada Outubro Rosa,2016-10-27,2016-10-27,0,,Jardim Botânico,Lazer
Torneio de Peteca,2016-10-27,2016-10-27,0,,Bigorrilho,Esporte
Semana Rosa,2016-10-28,2016-10-28,0,,Centro,Esporte
Circo - A Magia de Um Palhaço,2016-10-29,2016-10-29,1,5,Alto Boqueirão,Cultura
PINTURA EM TELA,2016-10-24,2016-10-28,1,2,Sítio Cercado,Cultura
CURSO DE TECLADO,2016-10-27,2016-10-27,1,2;3,Sítio Cercado,Cultura
CURSO VIOLINO,2016-11-07,2016-11-28,1,4,Sítio Cercado,Cultura
DESENHO ARTÍSTICO,2016-11-07,2016-11-29,1,5,Sítio Cercado,Cultura
CURSO DE VIOLÃO POPULAR,2016-11-09,2016-11-30,1,5;6,Sítio Cercado,Cultura
PROGRAMA INFANTIL 141 - Desenho Animado,2016-11-03,2016-11-24,1,6,São Francisco,Cultura
OFICINA DE FOTOGRAFIA,2016-11-03,2016-11-25,1,4,Umbará,Cultura
O GRILO FELIZ - Desenho Animado,2016-11-04,2016-11-04,1,5,Umbará,Cultura
PROGRAMA INFANTIL 141 - Desenho Animado,2016-11-09,2016-11-09,1,5,São Francisco,Cultura
O TEMPO QUE FOR PRECISO - Filme,2016-11-10,2016-11-10,1,2,Sítio Cercado,Cultura
REUNIÃO DA COMISSÃO DE SAUDE LOCAL DA UPA SITIO CERCADO,2016-11-17,2016-11-17,1,5,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DO SÃO JOÃO DEL REY,2016-11-21,2016-11-21,1,5,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DO SAMBAQUI,2016-11-03,2016-11-03,1,2,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DO SALVADOR ALLENDE,2016-11-03,2016-11-03,1,5,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DO JOÃO CÂNDIDO,2016-11-07,2016-11-07,1,3,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DO PARIGOT DE SOUZA,2016-11-03,2016-11-03,1,3,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DO OSTERNACK,2016-11-08,2016-11-08,1,3,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO DISTRITAL DE SAÚDE BAIRRO NOVO,2016-11-08,2016-11-08,1,5,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAÚDE XAPINHAL,2016-11-08,2016-11-08,1,6,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DA UMS BAIRRO NOVO,2016-11-10,2016-11-10,1,2,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DA UMS NOSSA SENHORA APARECIDA,2016-11-04,2016-11-04,1,4,Sítio Cercado,Saúde
REUNIÃO DA COMISSÃO DA MATERNIDADE DO BAIRRO NOVO,2016-11-07,2016-11-07,1,5,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DA UMS UMBARÁ I,2016-11-16,2016-11-16,1,2,Sítio Cercado,Saúde
REUNIÃO DO CONSELHO LOCAL DE SAÚDE DA UMS UMBARÁ II,2016-11-17,2016-11-17,1,4,Sítio Cercado,Saúde
Jogos do PASE- Futsal,2016-11-07,2016-11-07,0,,Xaxim,Esporte
Jogos do PASE- Futsal,2016-11-23,2016-11-23,0,,Capão Raso,Esporte
Jogos do PASE- Futsal,2016-11-09,2016-11-09,0,,Xaxim,Esporte
Jogos do PASE- Futsal,2016-11-10,2016-11-10,0,,Cajuru,Esporte
Esquenta Panturrilha- 9ª Etapa,2016-11-10,2016-11-10,0,,Bacacheri,Esporte
5ª Caminhada do Diabetes,2016-11-11,2016-11-11,0,,Santo Inácio,Esporte
Campanha Natal Solidário,2016-11-10,2016-11-10,0,,Tatuquara,Esporte
Cem Voltas,2016-11-12,2016-11-12,1,4,Jardim Botânico,Esporte
Cem Voltas,2016-11-07,2016-11-30,0,,Jardim Botânico,Esporte
Aulão Tai Chi Chuan,2016-11-09,2016-11-23,0,,Tatuquara,Esporte
Viver Curitiba Caminhando – Caminhada de Santa Felicidade,2016-11-20,2016-11-20,1,3;5,Bigorrilho,Esporte
Festival Esportivo Especial,2016-11-10,2016-11-10,0,,Tinguí,Esporte
Festival de Natação,2016-11-08,2016-11-10,0,,Alto Boqueirão,Esporte
Festival de Futsal,2016-11-25,2016-11-25,0,,Alto Boqueirão,Esporte
REUNIÃO DA COMISSÃO DE SAUDE LOCAL DA UPA SITIO CERCADO,2016-11-26,2016-11-26,1,5,Sítio Cercado,Saúde
REUNIAO CONSELHO LOCAL DE SAÚDE SÃO JOÃO DEL REY,2016-11-26,2016-11-26,1,5,Sítio Cercado,Saúde
